teams,goals,group,score1,score2,score3,rank
Qatar,1,1,0,0,0,0
England,9,2,0,3,4,0
Senegal,5,1,0,0,3,0
United States,2,2,0,1,2,0
Argentina,5,3,0,0,3,1
Denmark,1,4,0,1,1,0
Mexico,2,3,0,1,1,0
France,6,4,0,3,6,2
Morocco,4,6,0,1,4,4
Germany,6,5,0,0,1,0
Spain,9,5,0,3,4,0
Belgium,1,6,0,3,3,0
Switzerland,4,7,0,3,3,0
Uruguay,2,8,0,1,1,0
Portugal,6,8,0,3,6,0
Brazil,3,7,0,3,6,0
Wales,1,2,0,1,1,0
Netherlands,5,1,0,3,4,0
Tunisia,1,4,0,1,1,0
Poland,2,3,0,1,4,0
Japan,4,5,0,3,3,0
Croatia,4,6,0,1,4,3
Cameroon,4,7,0,0,1,0
Korea Republic,4,8,0,1,1,0
Ecuador,4,1,0,3,4,0
IR Iran,4,2,0,0,3,0
Australia,3,4,0,0,3,0
Saudi Arabia,3,3,0,3,3,0
Canada,2,6,0,0,0,0
Costa Rica,3,5,0,0,3,0
Ghana,5,8,0,0,3,0
Serbia,5,7,0,0,1,0
